doi,year
10.1021/acsmedchemlett.0c00290,2020.0
10.1021/acsmedchemlett.0c00347,2020.0
10.1021/acsmedchemlett.0c00423,2020.0
10.1021/acsmedchemlett.0c00474,2020.0
10.1021/acsmedchemlett.0c00589,2020.0
10.1021/acsmedchemlett.0c00605,2021.0
10.1021/acsmedchemlett.1c00155,2021.0
10.1021/acsmedchemlett.1c00178,2021.0
10.1021/acsmedchemlett.1c00244,2021.0
10.1021/acsmedchemlett.1c00245,2021.0
10.1021/acsmedchemlett.1c00368,2021.0
10.1021/acsmedchemlett.1c00498,2021.0
10.1021/acsmedchemlett.1c00580,2021.0
10.1021/acsmedchemlett.1c00645,2022.0
10.1021/acsmedchemlett.1c00650,2022.0
10.1021/acsmedchemlett.1c00657,2021.0
10.1021/acsmedchemlett.2c00039,2022.0
10.1021/acsmedchemlett.2c00300,2022.0
10.1021/acsmedchemlett.2c00402,2022.0
10.1021/acsmedchemlett.2c00436,2023.0
10.1021/acsmedchemlett.2c00446,2022.0
10.1021/acsmedchemlett.3c00082,2023.0
10.1021/acsmedchemlett.3c00449,2023.0
10.1021/acsmedchemlett.3c00490,2024.0
10.1021/acsmedchemlett.3c00498,2024.0
10.1021/acsmedchemlett.3c00571,2024.0
10.1021/acsmedchemlett.4c00029,2024.0
10.1021/acsmedchemlett.4c00065,2024.0
10.1021/acsmedchemlett.4c00255,2024.0
10.1021/acsmedchemlett.4c00357,2024.0
10.1021/acsmedchemlett.7b00247,2017.0
10.1021/acsmedchemlett.8b00011,2018.0
10.1021/acsmedchemlett.9b00025,2019.0
10.1021/acsmedchemlett.9b00042,2019.0
10.1021/acsmedchemlett.9b00115,2019.0
10.1021/acsmedchemlett.9b00219,2019.0
10.1021/acsmedchemlett.9b00283,2019.0
10.1021/acsmedchemlett.9b00296,2019.0
10.1021/acsmedchemlett.9b00372,2019.0
10.1021/acsmedchemlett.9b00385,2019.0
10.1021/acsmedchemlett.9b00397,2019.0
10.1021/acsmedchemlett.9b00423,2019.0
10.1021/acsmedchemlett.9b00424,2019.0
10.1021/acsmedchemlett.9b00584,2019.0
10.1021/acsptsci.2c00100,2022.0
10.1021/acsptsci.4c00405,2024.0
10.1021/acsptsci.4c00421,2024.0
10.1021/ja100691p,2010.0
10.1021/jacs.1c00990,2021.0
